,품목,단위,가격,이름,주소,구,위도,경도
48,"오징어(생물,국산)",1마리(40cm),5480.0,홈플러스 영등포점,서울특별시 영등포구 당산로 42,영등포구,37.5271319,126.8970172
49,"고등어(생물,국산)",1마리(30cm),4500.0,홈플러스 영등포점,서울특별시 영등포구 당산로 42,영등포구,37.5271319,126.8970172
50,"사과(부사, 300g)",1개,1400.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
51,"배(신고, 600g)",1개,3930.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
52,배추,1포기,7480.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
53,무(1kg),1개,2480.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
54,양파(1.5kg망),1망,4980.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
55,상추(100g),100g,1490.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
56,오이(다다기),1개,1690.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
57,호박(인큐베이터),1개,1380.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
58,"쇠고기(한우,불고기)",100g,6280.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
59,돼지고기(생삼겹살),100g,3780.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
60,닭고기,1마리,7480.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
61,달걀(30개),30개,6680.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
62,"조기(냉동,수입산)",1마리,8980.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,37.652,127.0463641
63,"명태(냉동,수입산)",1마리,4980.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,0.0,0.0
64,"오징어(생물,국산)",1마리,5980.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,0.0,0.0
65,"고등어(생물,국산)",1마리,6980.0,이마트 창동점,서울특별시 도봉구 노해로65길 4,도봉구,0.0,0.0
66,사과,1개(300g),1998.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
67,배(신고),1개(500g),3225.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
68,배추,1포기(2.3kg),7490.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
69,무(1kg),1개,3290.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
70,양파(1.5kg망),1.5kg,3992.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
71,상추(100g),100g,1145.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
72,오이(다다기),1개,1497.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
73,호박(인큐베이터),1개,1590.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
74,"쇠고기(한우,불고기)",100g,5580.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
75,돼지고기(생삼겹살),100g,2890.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
76,닭고기(육계),1마리(1kg),8490.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
77,달걀(10개),10개,3890.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
78,달걀(30개),30개,7990.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
79,"조기(냉동,국산)",1마리(18~20cm),1050.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
80,"명태(냉동,수입산)",1마리(500g),4000.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
81,"오징어(생물,국산)",1마리(25cm),5480.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
82,"고등어(생물,국산)",1마리(30cm),4500.0,홈플러스 등촌점,서울특별시 강서구 등촌동 699,강서구,0.0,0.0
83,사과(부사),1개(238g),873.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
84,배(신고),1개(525g),2950.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
85,배추(2.5~3kg),1포기,5980.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
86,무(1kg),1개,1459.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
87,양파(1.5kg망),1망,4980.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
88,상추(100g),100g,1450.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
89,오이(다다기),1개,796.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
90,애호박,1개,990.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
91,"쇠고기(한우,불고기)",100g,8500.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
92,돼지고기,100g,2880.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
93,닭고기(토종닭),1마리,14980.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
94,달걀(30개),30개,6480.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
95,"조기(국산,냉동)",1마리(18cm),8350.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
96,"명태(러시아,냉동)",1마리(55cm),5980.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
97,"오징어(생물,국산)",1마리,5280.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
98,"고등어(생물,국산)",1마리(30cm),2780.0,이마트 역삼점,서울특별시 강남구 역삼로 310,강남구,0.0,0.0
99,"사과(부사, 300g)",1 개,1745.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
100,"배(신고, 600g)",1 개,2725.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
101,배추(2.5~3kg),1포기,7480.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
