,STN_NM,위도,경도,주소
2978,국립4.19민주묘지입구사거리,37.6480891236103,127.01339307280408,"국립419묘지입구, 4.19로, 우이동, 강북구, 서울, 01021, 대한민국"
2979,국립4.19민주묘지입구사거리,37.64807286331001,127.0136377324055,"다미분식, 4.19로, 우이동, 강북구, 서울, 01021, 대한민국"
2980,국립419묘지삼거리.윤극영가옥,37.64629685551157,127.01055663890088,"국립419묘지삼거리, 인수봉로, 우이동, 강북구, 서울, 01021, 대한민국"
2981,국립419묘지삼거리.윤극영가옥,37.64631962510922,127.01064977059686,"인수봉로84길, 우이동, 강북구, 서울, 01021, 대한민국"
2982,인수동백운교회입구,37.64459721471082,127.01076130360012,"수유동수정탕, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
2983,인수동백운교회입구,37.64430505981616,127.01089340690224,"수유동수정탕, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
2984,인수중학교,37.64249457831234,127.01094457149632,"삼각산문화예술회관, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
2985,인수중학교,37.64231404741292,127.01101294819694,"삼각산문화예술회관, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
2986,서울영어마을수유캠프국립재활원입구,37.6401844660156,127.01177772740058,"서울영어마을수유캠프국립재활원입구, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
2987,서울영어마을수유캠프국립재활원입구,37.64005279651403,127.01213308069984,"서울영어마을수유캠프국립재활원입구, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
2988,인수동장미원,37.645072598115405,127.01566033810148,"우림약국, 삼양로, 수유동, 강북구, 서울, 01041, 대한민국"
2989,인수동장미원,37.64459006090932,127.01594475860507,"수유동장미원, 삼양로, 수유동, 강북구, 서울, 01041, 대한민국"
2990,가오리역,37.64176789001715,127.01667941380008,"삼양로109길, 수유동, 강북구, 서울, 01041, 대한민국"
2991,가오리역,37.64144241371529,127.01687212700232,"가오리역 1번출구, 삼양로, 수유동, 강북구, 서울, 01041, 대한민국"
2992,북부성모의원,37.64687302811188,127.01733247989937,"북부성모의원, 한천로, 수유동, 강북구, 서울, 01041, 대한민국"
2993,북부성모병원,37.646834728214,127.01718109429892,"북부성모의원, 한천로, 수유동, 강북구, 서울, 01041, 대한민국"
2994,수유2동주민센터우이시장,37.6451817520091,127.01953325010176,"수유2동사무소우이시장, 한천로, 수유동, 강북구, 서울, 01041, 대한민국"
2995,수유2동주민센터우이시장,37.644822931711055,127.0202472643976,"수유2동사무소우이시장, 한천로, 수유동, 강북구, 서울, 01041, 대한민국"
2996,광산사거리,37.64340672511522,127.0219618359001,"광산부페, 한천로, 수유동, 강북구, 서울, 01041, 대한민국"
2997,광산사거리,37.64364607221089,127.02183500469962,"광산부페, 한천로, 수유동, 강북구, 서울, 01041, 대한민국"
2998,우이초등학교후문,37.63840215900914,127.01371461960224,"우이초등학교후문, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
2999,우이초등학교후문,37.638427063813474,127.0138031267008,"서울우이초등학교, 인수봉로60가길, 인수동, 강북구, 서울, 01083, 대한민국"
3000,인수동청수탕입구,37.63730036891092,127.01301937880018,"수유동청수탕입구, 인수봉로, 인수동, 강북구, 서울, 01021, 대한민국"
3001,인수동청수탕입구,37.63651729680847,127.01306229159631,"인수봉로, 수유동, 강북구, 서울, 01083, 대한민국"
3002,우이초등학교,37.63651785781212,127.01726288729796,"우이초등학교, 삼양로, 인수동, 강북구, 서울, 01083, 대한민국"
3003,우이초등학교,37.63659464751271,127.01736468139448,"우이초등학교, 삼양로, 인수동, 강북구, 서울, 01083, 대한민국"
3004,화계사입구.한신대학교대학원,37.63387863980844,127.013594214496,"한신대학교, 덕릉로, 인수동, 강북구, 서울, 01100, 대한민국"
3005,화계사입구.한신대학교대학원,37.633821203513946,127.01393740530312,"한신대학교, 덕릉로, 수유동, 강북구, 서울, 01100, 대한민국"
3006,수유동삼양탕앞,37.6340832511155,127.01544133430312,"수유동삼양탕앞, 덕릉로, 인수동, 강북구, 서울, 01100, 대한민국"
3007,수유동삼양탕앞,37.63391465460985,127.0148962051974,"수유동삼양탕앞, 덕릉로, 수유동, 강북구, 서울, 01100, 대한민국"
